status,index,name_ru,name_en,description_ru,facts_ru,description_en,facts_en,notes
imported,2486,Фес,Fez,yes,1,yes,1,
imported,2503,Хюэ,Hue,yes,1,yes,1,
imported,2569,Сус,Sousse,yes,1,yes,1,
imported,1260,Нил,Nile,yes,1,yes,1,
imported,1248,Мён,Møn,yes,1,yes,1,
imported,656,Пляж Шампань,Champagne Beach,yes,1,yes,1,
imported,443,Гора Сечеда,Seceda,yes,1,yes,1,
imported,424,Большая Азишская пещера,Bolshaya Azishskaya Cave,yes,1,yes,1,
imported,374,Карымский,Karymsky,yes,1,yes,1,
imported,407,Пещеры Млынки,Mlynki Cave,yes,1,yes,1,
imported,2456,Бам,Bam,yes,1,yes,1,
imported,1986,Пью,Pyu Ancient Cities,yes,1,yes,1,
imported,2458,Бат,Bath,yes,1,yes,1,
imported,1030,Парк Гермия,Germia Park,yes,1,yes,1,
imported,2523,Люксембург,Luxembourg,yes,1,yes,1,
imported,1038,Красные цинги,Tsingy Rouge,yes,1,yes,1,
imported,2497,Гуанахуато,Guanajuato,yes,1,yes,1,
imported,2567,Сингапур,Singapore,yes,1,yes,1,
imported,2601,Занзибар,Zanzibar,yes,1,yes,1,
imported,205,Тропический лес Дейнтри,Daintree Rainforest,yes,1,yes,1,
imported,408,Пещеры Аггтелек,Aggtelek Karst,yes,1,yes,1,
imported,433,Пляж Саракинико,Sarakiniko Beach,yes,1,yes,1,
imported,623,Горы Тяньцзы,Tianzi Mountain,yes,1,yes,1,
imported,413,Пещеры Гомантонг,Gomantong Caves,yes,1,yes,1,
imported,474,Пик Ройс,Roys Peak,yes,1,yes,1,
imported,415,Ледник Бриксдальсбреен,Briksdalsbreen,yes,1,yes,1,
imported,187,Хорнелен,Hornelen,yes,1,yes,1,
imported,321,Глен-Каньон,Glen Canyon,yes,1,yes,1,
imported,173,Гранд-Титон,Grand Teton,yes,1,yes,1,
imported,318,Хеллс-Каньон,Hells Canyon,yes,1,yes,1,
imported,234,Лес Хох,Hoh Rainforest,yes,1,yes,1,
imported,51,Бухта Ханалей (Кауаи),Hanalei Bay,yes,1,yes,1,
imported,568,Утёс Циншуй,Qingshui Cliff,yes,1,yes,1,
imported,188,Кейрнгормс,Cairngorms,yes,1,yes,1,
imported,46,Бассейны Фей — Скай,Fairy Pools,yes,1,yes,1,
imported,532,Холмы Кираинг,Quiraing,yes,1,yes,1,
imported,326,Большой Кару,Great Karoo,yes,1,yes,1,
imported,2563,Сан-Луис,São Luís,yes,1,yes,1,
imported,2570,Сплит,Split,yes,1,yes,1,
