sourceIndex,status,score,sourceName,seed,item,en,name,country,lat,lng,category,wikiEnTitle,wikiRuTitle,image,typeLabel,note
,unresolved,,,Badakhshan,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Farah,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Devoll (Bilisht),,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Diber (Peshkopi),,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Adrar,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Alger,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Batna,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Eastern,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Rose Island,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Western,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Bengo,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Bie,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Cabinda,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Ross Dependency,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Peter I Island,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Queen Maud Land,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Saint George,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Saint John,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Saint Mary,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Saint Paul,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Saint Peter,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Saint Philip,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Antartica e Islas del Atlantico Sur,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Buenos Aires,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Catamarca,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Chaco,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Chubut,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Cordoba,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Ararat,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Armavir,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Geghark'unik',,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Kotayk',,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Lorri,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Shirak,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Ashmore and Cartier Island,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Victoria,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Abseron Rayonu,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Agcabadi Rayonu,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Agdam Rayonu,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Agdas Rayonu,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Agstafa Rayonu,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Agsu Rayonu,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Ali Bayramli Sahari,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Astara Rayonu,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Cat Island,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Freeport,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Al Mintaqah al Wusta,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Rangpur,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Christ Church,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Saint Andrew,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Saint George,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Saint James,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Saint John,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Saint Joseph,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Saint Lucy,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Brestskaya (Brest),,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Homyel'skaya (Homyel'),,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Hrodzyenskaya (Hrodna),,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Mahilyowskaya (Mahilyow),,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Vitsyebskaya (Vitsyebsk),,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Brussels Capitol Region,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Hainaut,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Limburg,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Cayo,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Corozal,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Orange Walk,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Stann Creek,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Toledo,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Atakora,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Atlantique,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Collines,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Donga,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Littoral,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Hamilton,,,,,,,forest,,,,,could not resolve seed country
,unresolved,,,Hamilton,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Paget,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Pembroke,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Saint George,,,,,,,water,,,,,could not resolve seed country
,unresolved,,,Saint Georges,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Sandys,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Bumthang,,,,,,,mountain,,,,,could not resolve seed country
,unresolved,,,Chirang,,,,,,,desert,,,,,could not resolve seed country
,unresolved,,,Daga,,,,,,,water,,,,,could not resolve seed country
